Time,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Biomass Energy Production Indicator,25.5905,26.0619,26.5195,26.9631,27.3603,27.6775,27.8986,28.0262,28.0749,28.0635,28.0106,27.9332,27.8454,27.7588,27.6826,27.6233,27.5854,27.5718,27.5842,27.6235,27.69,27.7841,27.9058,28.0551,28.232,28.4364,28.6679,28.9262,29.2109,29.5214,29.8572,30.2176,30.6019,31.0094,31.4393,31.8909,32.3637,32.8573,33.3717,33.907,34.4639,35.0434,35.647,36.2768,36.9371,37.6345,38.3765,39.1711,40.026,40.9485,41.9453,43.0227,44.1868,45.4434,46.7987,48.2588,49.8307,51.5216,53.3397,55.2941,57.3956,59.6562,62.0899,64.7122,67.5407,70.5951,73.8973,77.4706,81.3372,85.518,90.033,94.9009,100.139,105.765,111.791,118.232,125.097,132.395,140.132,148.31,156.926
CO2 Radiative Forcing,2.42279,2.46671,2.51073,2.55444,2.59764,2.64023,2.68247,2.72471,2.76722,2.81009,2.8534,2.89699,2.9409,2.98523,3.03004,3.0754,3.12131,3.16776,3.2147,3.26207,3.30984,3.35798,3.40646,3.45529,3.50445,3.55394,3.60376,3.65387,3.70427,3.75494,3.80587,3.85704,3.90837,3.95984,4.01144,4.06314,4.11492,4.16679,4.21873,4.27074,4.32281,4.37491,4.42704,4.47918,4.53103,4.5823,4.63312,4.6836,4.73383,4.78387,4.8338,4.88367,4.9335,4.98333,5.03316,5.083,5.13287,5.18274,5.2326,5.28234,5.33196,5.38144,5.43077,5.47993,5.5289,5.57767,5.62626,5.67465,5.72285,5.77088,5.81869,5.86629,5.91369,5.96088,6.00789,6.05471,6.10136,6.14784,6.19417,6.24036,6.28643
Coal Production Indicator,144.733,147.012,149.425,151.504,152.047,152.717,154.555,157.462,160.046,162.769,166.015,169.759,173.957,178.561,183.524,188.803,194.361,200.164,206.187,212.409,218.813,225.392,232.138,239.047,246.117,253.343,260.722,268.246,275.907,283.696,291.602,299.175,306.344,313.532,320.723,327.902,335.053,342.154,349.181,356.104,362.894,369.517,375.94,382.09,381.731,382.127,383.25,384.99,387.233,389.859,392.753,395.805,398.919,402.014,405.02,407.883,410.564,413.031,414.172,414.579,414.791,414.421,413.483,412.033,410.108,407.735,404.928,401.695,398.044,393.77,388.644,383.007,376.867,370.236,363.132,355.578,347.604,339.246,330.546,321.553,312.321
Energy Demand Indicator,591.809,593.036,592.802,592.829,593.652,595.409,598.097,601.627,605.877,610.723,616.056,621.781,627.816,634.09,640.546,647.133,653.811,660.547,667.315,674.093,680.866,687.62,694.346,701.038,707.689,714.294,720.852,727.361,733.818,740.223,746.576,752.877,759.126,765.323,771.471,777.569,783.618,789.619,795.571,801.475,807.332,813.142,818.905,824.62,830.287,835.906,841.477,846.997,852.467,857.885,863.251,868.56,873.81,879,884.13,889.198,894.2,899.136,904.002,908.797,913.517,918.162,922.728,927.212,931.614,935.93,940.159,944.301,948.35,952.303,956.158,959.915,963.57,967.12,970.561,973.892,977.115,980.225,983.219,986.095,988.85
Forest Land Indicator,3961.1,3949.55,3933.51,3912.1,3885.25,3853.42,3817.42,3778.46,3737.62,3695.72,3653.37,3611.04,3569.14,3527.92,3487.6,3448.3,3410.09,3373,3337.04,3302.17,3268.35,3235.52,3203.64,3172.85,3143.32,3114.94,3087.64,3061.32,3035.91,3011.33,2987.51,2964.39,2941.92,2920.05,2898.73,2877.92,2857.56,2837.62,2818.08,2798.89,2780.04,2761.49,2743.23,2725.48,2708.33,2691.75,2675.71,2660.19,2645.17,2630.64,2616.58,2602.97,2589.79,2577,2564.59,2552.55,2540.85,2529.51,2518.51,2507.85,2497.53,2487.54,2477.88,2468.56,2459.59,2450.97,2442.69,2434.7,2427.03,2419.69,2412.66,2405.92,2399.45,2393.23,2387.3,2381.65,2376.28,2371.16,2366.34,2361.85,2357.72
Gas Production Indicator,169.962,174.851,176.373,171.772,165.86,159.839,154.508,150.191,146.885,144.432,140.921,136.694,133.674,132.082,131.737,132.182,132.899,133.492,133.76,133.761,133.636,133.574,133.725,134.158,134.854,135.739,136.726,137.749,138.781,139.829,140.92,142.086,143.344,144.694,145.791,146.787,147.887,149.081,150.346,151.658,152.995,154.349,155.719,157.116,158.553,160.046,161.611,163.269,165.044,166.956,169.024,171.257,173.657,176.216,178.921,181.76,184.719,187.79,190.968,194.248,197.629,201.107,204.682,208.349,212.106,215.95,219.877,223.882,227.959,232.101,236.295,240.529,244.789,249.058,253.311,257.441,261.419,265.238,268.885,272.345,275.603
GWP per Capita Indicator,11.9751,11.4447,11.0531,10.7672,10.5647,10.4293,10.3523,10.3206,10.3266,10.3638,10.4269,10.5117,10.6146,10.7329,10.8641,11.0061,11.1575,11.3167,11.4826,11.6542,11.8308,12.0115,12.196,12.3836,12.574,12.7667,12.9616,13.1583,13.3567,13.5565,13.7577,13.9601,14.1635,14.3681,14.5738,14.7805,14.9884,15.1972,15.4072,15.6181,15.8301,16.0432,16.2575,16.473,16.6898,16.9079,17.1275,17.3485,17.5711,17.7954,18.0215,18.2458,18.4722,18.7006,18.9312,19.1641,19.3993,19.6368,19.8768,20.1194,20.3645,20.6123,20.8628,21.1161,21.3723,21.6314,21.8972,22.1664,22.4389,22.7148,22.9953,23.282,23.5724,23.8666,24.1645,24.469,24.783,25.1024,25.4262,25.7547,26.0921
Livestock Production Indicator,333.174,333.25,333.453,334.608,336.798,339.909,343.88,348.45,353.457,358.776,364.306,369.966,375.696,381.459,387.224,392.964,398.66,404.298,409.873,415.381,420.823,426.2,431.475,436.217,440.833,445.341,449.756,454.09,458.353,462.546,466.675,470.739,474.745,478.712,482.649,486.562,490.449,494.309,498.149,501.971,505.767,509.539,513.21,516.506,519.735,522.904,526.014,529.068,532.07,535.019,537.921,540.736,543.43,546.008,548.483,550.87,553.174,555.395,557.537,559.622,561.649,563.598,565.473,567.257,568.955,570.595,572.246,573.834,575.345,576.784,578.203,579.641,581.056,582.399,583.667,584.885,586.09,587.21,588.237,589,589.687
Nonenergy Crops Production Indicator,4239.43,4358.61,4447.47,4538.98,4635.42,4721.09,4780.59,4837.97,4895.72,4958.08,5023.26,5090.48,5158.66,5226.95,5294.71,5361.45,5426.85,5490.7,5552.87,5613.3,5672.02,5729.06,5784.51,5838.06,5889.52,5939.09,5986.92,6033.12,6077.38,6120.38,6162.24,6203.05,6242.91,6281.92,6320.17,6357.74,6394.72,6431.15,6467.09,6502.59,6537.61,6572.19,6606.39,6639.83,6672.43,6704.33,6735.6,6766.28,6796.4,6826.01,6855.13,6882.77,6908.68,6933.27,6956.78,6979.36,7001.1,7022.06,7042.26,7061.74,7080.53,7098.64,7116.07,7132.82,7148.86,7164.23,7179.16,7193.48,7207.16,7220.2,7232.7,7244.79,7256.37,7267.44,7277.97,7288.13,7298.08,7307.6,7316.6,7325.07,7333.22
Oil Production Indicator,197.004,198.304,199.718,201.833,204.33,207.291,211.048,215.789,221.491,227.706,233.342,238.302,242.639,246.426,249.733,252.617,255.121,257.274,259.092,260.585,261.76,262.623,263.177,263.428,263.382,263.045,262.424,261.528,260.369,258.961,257.32,255.463,253.411,251.184,248.802,246.287,243.66,240.941,238.152,235.315,232.447,229.569,226.698,223.853,221.058,218.347,215.75,213.291,210.978,208.815,206.79,204.891,203.096,201.385,199.734,198.123,196.532,194.944,193.346,191.728,190.083,188.41,186.707,184.979,183.227,181.457,179.673,177.878,176.078,174.275,172.475,170.679,168.89,167.11,165.339,163.577,161.824,160.079,158.338,156.6,154.861
